
id,name,nomen,sex,parent
702,CLAU0702 Ap. Claudius (317) Ap. f. C. n. Russus,Claudius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,591
707,IUNI0707 D. Iunius (124) D. f. D. n. Pera,Iunius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4212
709,FABI0709 Q. Fabius (cf. 112) Q. f. Q. n. Maximus Gurges,Fabius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,642
712,FABI0712 Q. Fabius (116) Q. f. Q. n. Fal. Pup. Maximus Ovicula Verrucosus Cunctator,Fabius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,498
713,CLAU0713 Ap. Claudius (102) C. f. Ap. n. Caudex,Claudius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,543
716,VALE0716 M'. Valerius (247) M. f. M. n. Maximus Messalla,Valerius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,570
718,POST0718 L. Postumius (56) L. f. L. n. Megellus,Postumius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,609
722,CORN0722 L. Cornelius (323) L. f. Cn. n. Scipio,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,628
723,CORN0723 Cn. Cornelius (341) L. f. Cn. n. Scipio Asina,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,628
727,ATIL0727 A. Atilius (36) A. f. C. n. Caiatinus,Atilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3943
727,ATIL0727 A. Atilius (36) A. f. C. n. Caiatinus,Atilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4350
735,CAED0735 Q. Caedicius (8) Q. f. Q. n.,Caedicius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,660
742,SERV0742 Cn. Servilius (43) Cn. f. Cn. n. Caepio,Servilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4996
744,CLAU0744 P. Claudius (304) Ap. f. C. n. Pulcher,Claudius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,591
747,SERV0747 P. Servilius (62) Q. f. Cn. n. Geminus,Servilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4963
751,CAEC0751 L. Caecilius (72) L. f. C. n. Metellus,Caecilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,673
752,CORN0752 P. Cornelius (382) P. f. Sulla,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,658
757,FABI0757 N. Fabius (55) M. f. M. n. Buteo,Fabius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3942
760,FABI0760 M. Fabius (94) C. f. M. n. Licinus,Fabius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,691
762,FABI0762 M. Fabius (53) M. f. M. n. Buteo,Fabius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3942
767,VALE0767 Q. Valerius (157) Q. f. P. n. Falto,Valerius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4997
776,CLAU0776 C. Claudius (104) Ap. f. C. n. Centho,Claudius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,591
779,VALE0779 P. Valerius (155) Q. f. P. n. Falto,Valerius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4997
