id,name,nomen,sexid,born,died
5255,GRAN5255 Q. Granius (8) Fal.,Granius,1,-125,-25
5256,GRAT5256 -. Grattius (1),Grattius,1,-125,-25
5257,HEIU5257 C. Heius (2),Heius,1,-125,-25
5258,HEIU5258 -. Heius (1),Heius,1,-100,-1
5259,HERE5259 T. Herennius (not in RE),Herennius,1,-125,-25
5260,HORA5260 M. Horatius (2),Horatius,1,-125,-25
5261,IUNI5261 M. Iunius (68) Congus,Iunius,1,-125,-25
5262,IUVE5262 -. Iuventius (cf. 16) Pap.,Iuventius,1,-175,-50
5263,LAMI5263  Lamia (6),Lamia,2,-125,-25
5264,LENT5264 -. Lentidius (1),Lentidius,1,-125,-25
5265,LICI5265 P. Licinius (28),Licinius,1,-125,-25
5266,LICI5266 A. Licinius (35) Archias,Licinius,1,-125,-25
5267,LOLL5267 M. Lollius (10),Lollius,1,-125,-25
5268,LUCC5268 Q. Lucceius (9),Lucceius,1,-125,-25
5269,LUCI5269 L. Lucillius (19) Balbus,Lucillius,1,-125,-25
5270,LUTA5270 Q. Lutatius (16) Diodorus,Lutatius,1,-125,-25
5271,MAEL5271 Sp. Maelius (2),Maelius,1,-125,-25
5272,MAGI5272 Cn.? Magius (3) Clu.,Magius,1,-125,-25
5273,MAGI5273 -. Magius (5),Magius,1,-125,-25
5274,MANI5274 T. Manilius (16),Manilius,1,-125,-25
5275,MANI5275 T. Manilius (cf. 16 ),Manilius,1,-125,-25
5276,MANL5276 C. Manlius (18),Manlius,1,-125,-25
5277,MARI5277 C. Marius (16),Marius,1,-125,-25
5278,MARI5278 M. Marius (24),Marius,1,-125,-25
5279,MATR5279 D. Matrinius (2),Matrinius,1,-125,-25
5280,MATR5280 T. Matrinius (3) Hor.,Matrinius,1,-125,-25
5281,MECU5281 -. Meculonius (Meculonius),Meculonius,1,-100,-1
5282,MEMM5282 P. Memmius (17),Memmius,1,-125,-25
5283,MINU5283 -. Minucius (not in RE),Minucius,1,-125,-25
5284,MINU5284 -. Minucius (8),Minucius,1,-125,-25
5285,MUCI5285 C. Mucius (10) Cordus Scaevola,Mucius,1,-125,-25
5286,MUNA5286 Cn. Munatius (27) Plancus,Munatius,1,-125,-25
5287,MUNI5287 -. Munius (Munius),Munius,1,-125,-25
5288,NAEV5288 Cn. Naevius (2 and suppl. VI),Naevius,1,-270,-201
5289,NAEV5289 P. Naevius (25) Turpio,Naevius,1,-125,-25
5290,NUMI5290 -. Numisius (11) Tiro,Numisius,1,-125,-25
5291,PALL5291  Palla (3),Palla,2,-125,-25
5292,PAPI5292  Papia (15),Papia,2,-125,-25
5293,PATI5293 T. Patina (Patina),Patina,1,-125,-25
5294,PEDU5294 Sex. Peducaeus (Stloga) Stloga,Peducaeus,1,-125,-25
5295,PETR5295 -. Petraeus (6),Petraeus,1,-125,-25
5296,PETU5296 -. Petusius (Petusius),Petusius,1,-125,-25
5297,PLAN5297 Cn. Plancius (2) Ter.,Plancius,1,-125,-25
5298,PLOT5298 L. Plotius (16) Gallus,Plotius,1,-125,-25
5299,POMP5299 Cn. Pompeius (23) Basiliscus,Pompeius,1,-125,-25
5300,POMP5300 Sex. Pompeius (27) Chlorus,Pompeius,1,-125,-25
5301,POMP5301 Cn. Pompeius (46) Theodorus,Pompeius,1,-125,-25
5302,PONT5302 -. Pontius (18),Pontius,1,-125,-25
5303,POST5303 -. Postumius (7),Postumius,1,-100,-1
5304,"POST5304 C.? Postumius (Postumus 4, cf. Postumius 12)",Postumius,1,-125,-25
5305,PROP5305 Sex. Propertius (1),Propertius,1,-125,-25
5306,PUBL5306 L. Publicius (10),Publicius,1,-150,-25
5307,PUBL5307 -. Publicius (5),Publicius,1,-125,-25
5308,QUIN5308 C. Quinctilius (1),Quinctilius,1,-125,-25
5309,QUIN5309 C. Quinctius (56) Valgus,Quinctius,1,-125,-25
5310,RABO5310 L. Rabonius (Habonius),Rabonius,1,-125,-25
5311,ROSC5311 Sex. Roscius (7) Sex. f.,Roscius,1,-150,-25
5312,ROSC5312 T. Roscius (12) Capito,Roscius,1,-125,-25
5313,ROSC5313 T. Roscius (18) Magnus,Roscius,1,-125,-25
5314,RUBR5314 L. Rubrius (10),Rubrius,1,-125,-25
5315,RUBR5315 -. Rubrius (3),Rubrius,1,-125,-25
5316,RUTI5316 A. Rutilius (Rupilius 3),Rutilius,1,-125,-25
5317,SAFI5317 -. Safinius (Safinius),Safinius,1,-125,-25
5318,SALA5318 -. Salarius (1),Salarius,1,-125,-25
5319,SAMI5319 -. Samiarius (Samiarius),Samiarius,1,-125,-25
5320,SCAN5320  Scantia (1),Scantia,2,-125,-25
5321,SEIU5321 -. Seius (10) Pob. Mustela,Seius,1,-125,-25
5322,SEPT5322 L. Septimius (8),Septimius,1,-200,-75
5323,SEPT5323 P. Septimius (12),Septimius,1,-125,-25
5324,SERG5324 Cn. Sergius (9),Sergius,1,-125,-25
5325,SERG5325 L. Sergius (13),Sergius,1,-125,-25
5326,SERG5326 L. Sergius (15),Sergius,1,-125,-25
5327,SERG5327 -. Sergius (2),Sergius,1,-100,-1
5328,SERT5328 Cn. Sertius (1),Sertius,1,-125,-25
5329,SERT5329 T. Sertius (2) Gallus,Sertius,1,-75,25
5330,SERV5330 -. Servaeus (2),Servaeus,1,-125,-25
5331,SERV5331 C. Servilius (15),Servilius,1,-125,-25
5332,SERV5332 -. Servilius (2) Iacus,Servilius,1,-125,-25
5333,SEST5333 A. Sestullius (Sextilius 5),Sestullius,1,-125,-25
5334,SEXT5334 -. Sextius (4),Sextius,1,-125,-25
5335,STHE5335 -. Sthenius (2),Sthenius,1,-125,-25
5336,TERE5336 A. Terentius (17),Terentius,1,-125,-25
5337,TERE5337 P. Terentius (36) Afer,Terentius,1,-125,-25
5338,TITI5338 -. Titius (2) Qui.,Titius,1,-125,-25
